,location,course_link,duration,entry_score,course_qualification,intakes
6485,United Kingdom,https://www.idp.com/global/Categories/University-of-Central-Lancashire/BA-Hons-Counselling-and-Psychotherapy-Studies/p/PRG-UK-00083868,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6486,United Kingdom,https://www.idp.com/global/Categories/University-of-Edinburgh/PGDE-Professional-Graduate-Diploma-in-Education-Primary/p/PRG-UK-00083905,36 Week(s),6.5 IELTS,Graduate Diploma,['august']
6487,United Kingdom,https://www.idp.com/global/Categories/University-of-Edinburgh/MSc-Outdoor-Education/p/PRG-UK-00083908,15 Month(s),7.0 IELTS,Masters Degree (Taught),['september']
6488,United Kingdom,https://www.idp.com/global/Categories/Teaching-and-Education/Counselling/MSc-Counselling-Studies/p/PRG-UK-00083919,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
6489,United Kingdom,https://www.idp.com/global/Categories/Birkbeck%2C-University-of-London/Teaching-English-to-Speakers-of-Other-Languages-TESOL-MA/p/PRG-UK-00095746,1 Year(s),6.5 IELTS,Masters Degree (Taught),['october']
6490,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Education-Primary/p/PRG-AU-00065376,4 Year(s),7.5 IELTS,Bachelor Degree,"['feb', 'march']"
6491,Australia,https://www.idp.com/global/Categories/Flinders-University/Bachelor-of-Education-Primary-R-7-Bachelor-of-Arts/p/PRG-AU-00065705,4 Year(s),7.0 IELTS,Dual Degree,['march']
6492,Australia,https://www.idp.com/global/Categories/Ivanhoe-Girls%27-Grammar-School/Primary-Years-Preparatory/p/PRG-AU-00065808,1 Year(s),,Primary School,"['feb', 'april', 'july', 'october']"
6493,Australia,https://www.idp.com/global/Categories/Flinders-University/Bachelor-of-Education-Secondary-Bachelor-of-Languages/p/PRG-AU-00073868,4 Year(s),7.0 IELTS,Dual Degree,"['march', 'july']"
6494,Australia,https://www.idp.com/global/Categories/The-Hamilton-and-Alexandra-College/Secondary-Year-Year-9-to-12/p/PRG-AU-00068084,4 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
6495,Australia,https://www.idp.com/global/Categories/Murdoch-University/Graduate-Certificate-in-Counselling/p/PRG-AU-00068188,,7.0 IELTS,Graduate Certificate,"['feb', 'july']"
6496,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Philosophy-in-Education/p/PRG-AU-00075188,2 Year(s),7.0 IELTS,Masters Degree (Research),"['march', 'july']"
6497,Australia,https://www.idp.com/global/Categories/Haileybury-College/Pre-Senior-Year-9/p/PRG-AU-00097049,1 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
6498,Australia,https://www.idp.com/global/Categories/St-Catherine%27s-School/Secondary-Senior-Years-11-12-Girls-Only/p/PRG-AU-00100517,2 Year(s),,Secondary School,"['feb', 'april', 'july', 'october']"
6499,Australia,https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Education-Honours-in-Secondary-Education-and-Bachelor-of-Music/p/PRG-AU-00116959,4 Year(s),6.5 IELTS,Dual Degree,"['feb', 'march']"
