,location,course_link,duration,entry_score,course_qualification,intakes
2680,United States,https://www.idp.com/global/Categories/University-of-Oklahoma/Master-of-Regional-and-City-Planning-Thesis/p/PRG-US-00192186,5 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
2681,United States,https://www.idp.com/global/Categories/School-of-the-Art-Institute-of-Chicago/Master-of-Architecture-in-Interior-Architecture-2-year/p/PRG-US-00192239,4 Semester(s),7.0 IELTS,Masters Degree,['september']
2682,United States,https://www.idp.com/global/Categories/California-College-of-the-Arts/Bachelor-of-Architecture-BArch/p/PRG-US-00192680,10 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'september']"
2683,United States,https://www.idp.com/global/Categories/California-College-of-the-Arts/Bachelor-of-Fine-Arts-in-Community-Arts/p/PRG-US-00192694,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'september']"
2684,United States,https://www.idp.com/global/Categories/California-College-of-the-Arts/Master-of-Advanced-Architectural-Design-MAAD-in-Digital-Craft/p/PRG-US-00193135,2 Semester(s),7.5 IELTS,Masters Degree,['september']
2685,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Master-of-Advanced-Architectural-Design-MAAD-in-History-Theory-Experiments/p/PRG-US-00193138,2 Semester(s),7.5 IELTS,Masters Degree,['september']
2686,United States,https://www.idp.com/global/Categories/University-of-Cincinnati/Doctor-of-Philosophy-in-Architecture/p/PRG-US-00194917,6 Semester(s),7.0 IELTS,Ph.D.,"['january', 'august']"
2687,United States,https://www.idp.com/global/Categories/Western-Illinois-University/Post-Baccalaureate-Certificate-in-Community-Development-and-Planning/p/PRG-US-00196198,2 Semester(s),6.0 IELTS,Graduate Certificate,"['january', 'august']"
2688,United States,https://www.idp.com/global/Categories/Tennessee-Technological-University/Bachelor-of-Science-in-Human-Ecology-Housing-and-Design/p/PRG-US-00196577,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'june', 'august']"
2689,United States,https://www.idp.com/global/Categories/Rochester-Institute-of-Technology/Bachelor-of-Fine-Arts-in-Interior-Design/p/PRG-US-00198472,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
2690,United States,https://www.idp.com/global/Categories/Rochester-Institute-of-Technology/Master-of-Fine-Arts-in-Furniture-Design/p/PRG-US-00198824,4 Semester(s),6.5 IELTS,Masters Degree,['august']
2691,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Urban-planning/Graduate-Certificate-in-Community-Planning/p/PRG-US-00199144,2 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
2692,United States,https://www.idp.com/global/Categories/Rhode-Island-School-of-Design/Master-of-Fine-Arts-in-Furniture-Design/p/PRG-US-00211525,3 Year(s),6.5 IELTS,Masters Degree,['september']
2693,United States,https://www.idp.com/global/Categories/SUNY-Binghamton-University/Bachelor-of-Arts-in-Art-and-Design-Painting/p/PRG-US-00213257,8 Semester(s),6.5 IELTS,Bachelor Degree,['august']
2694,United States,https://www.idp.com/global/Categories/SUNY-Binghamton-University/Master-of-Arts-in-Geography-Urban-Planning-and-Applied-Geography/p/PRG-US-00213696,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
2695,United States,https://www.idp.com/global/Categories/SUNY-Binghamton-University/Master-of-Science-in-Sustainable-Communities/p/PRG-US-00213700,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
2696,United States,https://www.idp.com/global/Categories/Lawrence-Technological-University/Bachelor-of-Science-in-Media-CommunicationMaster-of-Architecture/p/PRG-US-00214289,5 Year(s),6.5 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'may', 'august']"
2697,United States,https://www.idp.com/global/Categories/Purdue-University---West-Lafayette/Bachelor-of-Science-in-Horticulture-Landscape-Contracting-and-Management/p/PRG-US-00214997,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
2698,United States,https://www.idp.com/global/Categories/University-of-North-Carolina-at-Chapel-Hill/Juris-DoctorMaster-of-City-and-Regional-Planning/p/PRG-US-00215303,8 Semester(s),6.0 IELTS,Combined Graduate / Doctoral Degree,['august']
2699,United States,https://www.idp.com/global/Categories/University-of-North-Carolina-at-Chapel-Hill/Master-of-Healthcare-Administration-Health-Policy-and-ManagementMaster-of-City-and-Regional-Planning/p/PRG-US-00215539,6 Semester(s),7.0 IELTS,Double Major Degree,['august']
2700,United States,https://www.idp.com/global/Categories/Pratt-Institute/Bachelor-of-Architecture-Morphology/p/PRG-US-00215617,10 Semester(s),,Bachelor Degree,"['january', 'august']"
2701,United States,https://www.idp.com/global/Categories/South-Dakota-State-University/Bachelor-of-Fine-Arts-in-Architecture/p/PRG-US-00217024,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'august']"
2702,United States,https://www.idp.com/global/Categories/Iowa-State-University/Master-of-Arts-in-Interior-Design/p/PRG-US-00217614,4 Semester(s),6.5 IELTS,Masters Degree,['january']
2703,United States,https://www.idp.com/global/Categories/Green-River-College/Certificate-of-Proficiency-Carpentry-Technology-Residential-and-Light-Commercial-Framing-Level-2/p/PRG-US-00219056,1 Semester(s),5.5 IELTS,Advanced Certificate,"['january', 'march', 'june', 'september']"
2704,United States,https://www.idp.com/global/Categories/Green-River-College/Certificate-of-Proficiency-Carpentry-Technology-Residential-and-Light-Commercial/p/PRG-US-00219051,2 Semester(s),5.5 IELTS,Advanced Certificate,"['january', 'march', 'june', 'september']"
