,location,course_link,duration,entry_score,course_qualification,intakes
7713,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Bachelor-of-Science-in-Business-Administration-Entrepreneurship-and-Business-Development/p/PRG-US-00258449,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7714,United States,https://www.idp.com/global/Categories/Central-Michigan-University/Bachelor-of-Science-in-Fashion-Merchandising-and-Design-Fashion-Merchandising/p/PRG-US-00258510,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
7715,United States,https://www.idp.com/global/Categories/Central-Michigan-University/Bachelor-of-Science-in-Law-and-Economics/p/PRG-US-00258572,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
7716,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Master-of-Science-in-Mathematics/p/PRG-US-00258701,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
7717,United States,https://www.idp.com/global/Categories/Central-Michigan-University/Bachelor-of-Science-in-Statistics/p/PRG-US-00258769,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
7718,United States,https://www.idp.com/global/Categories/Economics/Family-and-Consumer-Sciences/Bachelor-of-Science-in-Human-Development-Peer-Assistance-and-Leadership/p/PRG-US-00258899,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
7719,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Doctor-of-Philosophy-in-Educational-Psychology-Research-Measurement-and-Statistics/p/PRG-US-00259014,4 Year(s),,Ph.D.,['august']
7720,United States,https://www.idp.com/global/Categories/Salem-State-University/Bachelor-of-Science-in-Mathematics-Master-of-Education-in-Secondary-Education/p/PRG-US-00259137,10 Semester(s),5.5 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'may', 'september']"
7721,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Science-in-Mathematical-Sciences-Double-Major-in-Science-or-Dual-Degree-in-Engineering-Concentration-III/p/PRG-US-00259425,8 Semester(s),6.0 IELTS,Double Major Degree,"['january', 'june', 'august']"
7722,United States,https://www.idp.com/global/Categories/University-of-Alabama-in-Huntsville/Bachelor-of-Science-in-Secondary-Education-Mathematics/p/PRG-US-00259441,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
7723,United States,https://www.idp.com/global/Categories/Economics/Family-and-Consumer-Sciences/Bachelor-of-Science-in-Family-and-Child-Studies-Human-Development-and-Family-Relations/p/PRG-US-00259453,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
7724,United States,https://www.idp.com/global/Categories/Florida-A-and-M-University/Bachelor-of-Science-in-Economics-with-Business/p/PRG-US-00259671,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7725,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Arts-in-Mathematics/p/PRG-US-00259765,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
7726,United States,https://www.idp.com/global/Categories/University-of-Texas---El-Paso/Bachelor-of-Science-in-Mathematics-Statistics/p/PRG-US-00260213,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
7727,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Science-in-Mathematics-Master-of-Science-in-Mathematics/p/PRG-US-00260215,10 Semester(s),6.0 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'june', 'august']"
7728,United States,https://www.idp.com/global/Categories/Economics/Family-and-Consumer-Sciences/Basic-Technical-Certificate-in-Early-Childhood-Care-and-Education/p/PRG-US-00260395,2 Semester(s),5.5 IELTS,Advanced Certificate,['august']
7729,United States,https://www.idp.com/global/Categories/Idaho-State-University/Intermediate-Technical-Certificate-in-Early-Childhood-Care-and-Education-Daytime/p/PRG-US-00260424,2 Semester(s),5.5 IELTS,Advanced Certificate,['august']
7730,United States,https://www.idp.com/global/Categories/University-of-Texas---El-Paso/Graduate-Certificate-in-Applied-and-Computational-Mathematics/p/PRG-US-00260475,2 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'june', 'august']"
7731,United States,https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Bachelor-of-Science-in-Mathematical-Sciences/p/PRG-US-00261558,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'september']"
7732,United States,https://www.idp.com/global/Categories/Tufts-University/Master-of-Arts-in-Child-Study-and-Human-Development-Applied-Track/p/PRG-US-00261608,4 Semester(s),6.5 IELTS,Masters Degree,['september']
7733,United States,https://www.idp.com/global/Categories/Tufts-University/Master-of-Science-in-Mathematics-Probability/p/PRG-US-00261689,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
7734,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Dynamical-Systems/p/PRG-US-00261687,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
7735,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Geometric-Group-Theory-and-Topology/p/PRG-US-00261688,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
7736,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Algebra-Representation-Theory-Algebraic-Geometry/p/PRG-US-00261683,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
7737,United States,https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Graduate-Certificate-in-Applied-Statistical-Methods/p/PRG-US-00261745,30 Week(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
7738,United States,https://www.idp.com/global/Categories/Tufts-University/Doctor-of-Philosophy-in-Human-Developmental-Economics/p/PRG-US-00261842,12 Semester(s),6.5 IELTS,Ph.D.,['september']
